Name,Facebook Rating Out of 5 Stars
BKS Artisan Ales,4.9
Border Brewing Company,4.8
Boulevard Brewing,4.7
Brew Lab,4.7
Brewery Emperial,4.8
Calibration Brewery,4.4
Callsign Brewing,5
Casual Animal Brewing Company,4.9
Cinder Block Brewery,4.7
Crane Brewing Company,4.9
Double Shift Brewing,4.8
East Forty Brewing,5
Flying Saucer Draught Emporium,4.4
Kansas City Bier Company,4.7
Martin City Brewing Company,4.6
Stockyards Brewing,4.8
Strange Days Brewing Co.,4.9
The Big Rip Brewing Company,4.6
Torn Label Brewing Company,4.8
