Name,Google Rating Out of 5 Stars
BKS Artisan Ales,4.9
Border Brewing Company,4.6
Boulevard Brewing,4.8
Brewery Emperial,4.5
Calibration Brewery,4.1
Cinder Block Brewery,4.6
Crane Brewing Company,4.8
Double Shift Brewing,4.6
Gordon Biersch Brewery Restaurant,4.1
Granite City Food & Brewery,4.1
Granite City Food & Brewery,4.1
Kansas City Bier Company,4.7
Martin City Brewing Company,4.7
Red Crow Brewing Company,4.3
Smoke Brewing Company,4.3
Stockyards Brewing,4.6
The Big Rip Brewing Company,4.6
Torn Label Brewing Company,4.6
